Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Nano-X Photographer,nanoxphotographer,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-photographer
Nano-X Director Lite,nanoxdirectorlite,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-director-lite
Nano-X Director PRO V1,nanoxdirectorprov1,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-director-pro-v1
Nano-X Director PRO V2,nanoxdirectorprov2,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-director-pro-v2
NANO-X CREATOR V1 -Video Editing,nanoxcreatorv1videoediting,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-v1-video-editing
NANO-X CREATOR V2 -Video Editing,nanoxcreatorv2videoediting,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-v2-video-editing
Nano-X Creator PRO V1 - 3D Modelling,nanoxcreatorprov13dmodelling,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-pro-v1-3d-modelling
Nano-X Creator PRO V2 - 3D Modelling,nanoxcreatorprov23dmodelling,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-pro-v2-3d-modelling
Nano-X Creator Ultimate - 3D Modelling,nanoxcreatorultimate3dmodelling,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-ultimate-3d-modelling
Nano-X Creator Intel Pro  - 3D Modelling,nanoxcreatorintelpro3dmodelling,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-intel-pro-3d-modelling
Nano-X Creator AMD Pro  - 3D Modelling,nanoxcreatoramdpro3dmodelling,0.0,In Stock | Contact 0770322381 For Price,https://www.nanotek.lk/product/nano-x-creator-amd-pro-3d-modelling
