Component Name,Normalized Name,Winsoft Price,Winsoft Status,Winsoft URL
Budget Build With 12th Gen Core i3,budgetbuild12thi3,90100.0,Out of Stock,https://www.winsoft.lk/product/budget-build-with-12th-gen-core-i3/
Budget Build With I3 10th Gen,budgetbuildi310th,84100.0,Out of Stock,https://www.winsoft.lk/product/budget-build-with-i3-10th-gen/
Budget Build With I3 13th Gen,budgetbuildi313th,89100.0,Out of Stock,https://www.winsoft.lk/product/budget-build-with-i3-13th-gen/
Budget Upgradable Gamer XR08 5600G,budgetupgradablegamerxr085600g,111250.0,Out of Stock,https://www.winsoft.lk/product/budget-upgradable-gamer-xr08-5600g-2/
RYZEN 5 5600G Budget PC Build,ryzen55600gbudgetpcbuild,105700.0,Out of Stock,https://www.winsoft.lk/product/ryzen-5-5600g-budget-pc-build-2/
RYZEN 5 5600G with RTX 3060 Budget PC Build,ryzen55600grtx3060budgetpcbuild,235700.0,Out of Stock,https://www.winsoft.lk/product/ryzen-5-5600g-with-rtx-3060-budget-pc-build/
Ryzen 5 5600GT  with RTX 5060  Workstation PC,ryzen55600gtrtx5060workstationpc,270500.0,Out of Stock,https://www.winsoft.lk/product/ryzen-5-5600gt-with-rtx-5060-workstation-pc/
Ryzen 5 5600X Workstation PC,ryzen55600xworkstationpc,261500.0,Out of Stock,https://www.winsoft.lk/product/ryzen-5-5600x-workstation-pc/
Ryzen 7 5700G Budget PC Build,ryzen75700gbudgetpcbuild,152000.0,Out of Stock,https://www.winsoft.lk/product/ryzen-7-5700g-budget-pc-build/
WSG Lite Photo Editing Power PC,wsglitephotoeditingpowerpc,121300.0,Out of Stock,https://www.winsoft.lk/product/wsg-lite-photo-editing-power-pc/
Budget Console killer XR08,budgetconsolekillerxr08,196100.0,Out of Stock,https://www.winsoft.lk/product/budget-console-killer-xr08/
WSG Professional Editing PC (AMD),wsgprofessionaleditingpc,443000.0,Out of Stock,https://www.winsoft.lk/product/wsg-professional-editing-pc-amd/
WSG PRO Photo & Video Editing Power PC,wsgprophotovideoeditingpowerpc,470000.0,Out of Stock,https://www.winsoft.lk/product/wsg-pro-photo-video-editing-power-pc-intel/
Budget Gamer PRO with i5 12th Gen and RTX 3050,budgetgamerproi512thandrtx3050,231700.0,Out of Stock,https://www.winsoft.lk/product/budget-gamer-pro-with-i5-12th-gen-and-rtx-3050/
Budget Gamer PRO with i5 12th Gen and RTX 5060,budgetgamerproi512thandrtx5060,308300.0,Out of Stock,https://www.winsoft.lk/product/budget-gamer-pro-with-i5-12th-gen-and-rtx-5060/
WSG Ultimate Gaming PC Intel Core i7,wsgultimatepcinteli7,1156000.0,Out of Stock,https://www.winsoft.lk/product/wsg-ultimate-gaming-pc/
WSG CHALLENGER (Ryzen 9),wsgchallenger,1706500.0,Out of Stock,https://www.winsoft.lk/product/wsg-challenger-2/
WSG Ultimate Gaming PC intel Core i9,wsgultimatepcinteli9,1811000.0,Out of Stock,https://www.winsoft.lk/product/wsg-beast-intel-gaming-pc-intel-core-i9-powered-by-aorus/
Budget Build With Pentium Gold,budgetbuildpentiumgold,80000.0,Out of Stock,https://www.winsoft.lk/product/budget-build-with-pentium-gold/
Budget Lite,budgetlite,55000.0,Out of Stock,https://www.winsoft.lk/product/budget-lite/
Budget PC With I3 13th Gen,budgetpci313th,126000.0,Out of Stock,https://www.winsoft.lk/product/budget-pc-build-with-i3-13th-gen/
Budget Upgradable Gamer XR08 5600X GTX 1660,budgetupgradablegamerxr085600xgtx1660,280000.0,Out of Stock,https://www.winsoft.lk/product/budget-upgradable-gamer-xr08-5600x/
Full Budget PC (Home & Office),fullbudgetpc,114000.0,Out of Stock,https://www.winsoft.lk/product/full-budget-pc-home-office/
WSG Gaming Core 200,wsg200,151000.0,Out of Stock,https://www.winsoft.lk/product/wsg-gaming-core-200/
WSG Gaming Core 250,wsg250,189000.0,Out of Stock,https://www.winsoft.lk/product/wsg-gaming-core-250/
WSG PRO Photo Editing PC,wsgprophotoeditingpc,258000.0,Out of Stock,https://www.winsoft.lk/product/wsg-pro-photo-editing/
WSG Professional Video Editing PC (Intel),wsgprofessionalvideoeditingpc,399000.0,Out of Stock,https://www.winsoft.lk/product/wsg-professional-video-editing-pc-intel/
